"invx1  |  cell_rise  (rows=input_transition, cols=cload)  [ns]"
0.0100 ns,0.003301732,0.003593623,0.004403235,0.006574837,0.01229652,0.02755296,0.06803302
0.0231 ns,0.005134012,0.005272975,0.005722244,0.007179524,0.01231718,0.0275602,0.06803352
0.0531 ns,0.008779068,0.009257033,0.01003527,0.01218554,0.01578185,0.02820409,0.06803853
0.1225 ns,0.01471053,0.01492816,0.01693981,0.01994382,0.02597034,0.03673279,0.06978769
0.2823 ns,0.02457182,0.02541162,0.02748566,0.03240715,0.04239668,0.05968701,0.08857202
0.6507 ns,0.04470164,0.04572213,0.04843868,0.05505611,0.06957748,0.09744519,0.1423312
1.5000 ns,0.09005664,0.0910892,0.09390378,0.1015949,0.1203167,0.1601937,0.2324316

"invx8  |  fall_transition  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.002555446,0.002776168,0.003411632,0.005137145,0.009678274,0.02181419,0.05402976
0.0231 ns,0.003711684,0.003908283,0.004350708,0.005680046,0.009706912,0.02181799,0.05403374
0.0531 ns,0.006291084,0.006655527,0.00733555,0.00930041,0.01298549,0.0227544,0.05405468
0.1225 ns,0.01053139,0.01140941,0.01247004,0.01528922,0.02111905,0.03164379,0.05686657
0.2823 ns,0.01882307,0.01941307,0.0214332,0.02566306,0.03446629,0.05031064,0.07760596
0.6507 ns,0.03680282,0.03773434,0.0402848,0.04611543,0.0582692,0.08159863,0.1225998
1.5000 ns,0.07923562,0.08004499,0.08247511,0.08917857,0.1051754,0.1375783,0.1973832


"nand2x1  |  cell_rise  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.01119113,0.01332816,0.01884919,0.03229455,0.06542028,0.1520403,0.3810797
0.0231 ns,0.01418745,0.01611047,0.02132459,0.03474895,0.06819638,0.1550874,0.3842669
0.0531 ns,0.02030619,0.02288547,0.02839351,0.041332,0.0748031,0.1620317,0.3914558
0.1225 ns,0.02863116,0.03266328,0.04149825,0.05813816,0.09120141,0.1784149,0.4081391
0.2823 ns,0.04091636,0.04689789,0.06038337,0.0863973,0.1305253,0.2174064,0.4469764
0.6507 ns,0.06175213,0.07000426,0.08911591,0.1279089,0.1966555,0.3097742,0.5380283
1.5000 ns,0.1008591,0.1119763,0.1380805,0.1923356,0.29416,0.4703406,0.7527165

"nand2x1  |  cell_fall  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.009493549,0.01083635,0.01431006,0.02301157,0.04513883,0.1036547,0.2587462
0.0231 ns,0.01174571,0.01307224,0.01657588,0.02541173,0.04767582,0.1062668,0.2613901
0.0531 ns,0.01485893,0.01700064,0.02181032,0.03125388,0.05364155,0.1123452,0.2675248
0.1225 ns,0.01779196,0.02113201,0.02840772,0.0426687,0.06783321,0.1265612,0.2817977
0.2823 ns,0.0187182,0.02363582,0.03471548,0.05643572,0.09436808,0.1598463,0.3148876
0.6507 ns,0.01273501,0.02002947,0.03652844,0.06896947,0.1265626,0.2243303,0.3920518
1.5000 ns,-0.01195625,-0.001386923,0.02275221,0.0707433,0.1566858,0.3048152,0.5501339

"nand2x1  |  rise_transition  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.00767768,0.01011936,0.01683876,0.03486649,0.0822257,0.2084181,0.5433014
0.0231 ns,0.007801603,0.01013624,0.01685325,0.03486915,0.08222853,0.2084182,0.5433014
0.0531 ns,0.01256044,0.01392975,0.01863413,0.03490291,0.08224065,0.2084252,0.5433027
0.1225 ns,0.02062236,0.02326002,0.02912064,0.04141239,0.08282047,0.2084349,0.543303
0.2823 ns,0.03251223,0.03708239,0.04675791,0.06467659,0.09824389,0.2095108,0.5433089
0.6507 ns,0.05385099,0.06011369,0.07490158,0.1040151,0.152039,0.242372,0.544271
1.5000 ns,0.09727438,0.1049127,0.1241522,0.1663321,0.2437307,0.3668454,0.6098901

"nand2x1  |  fall_transition  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.005245684,0.006725812,0.01081064,0.02173978,0.05041374,0.1267889,0.3294539
0.0231 ns,0.005826518,0.007039595,0.01081882,0.02174799,0.05041921,0.1267907,0.3294542
0.0531 ns,0.008985977,0.01061836,0.01386682,0.02275676,0.05044555,0.1267967,0.3294583
0.1225 ns,0.01466443,0.0168633,0.02163881,0.03142574,0.05375254,0.1268222,0.32947
0.2823 ns,0.02416866,0.02736058,0.03460264,0.04875066,0.07436407,0.1341285,0.3294736
0.6507 ns,0.04368003,0.04832223,0.05872119,0.0791895,0.115962,0.181519,0.3430037
1.5000 ns,0.08457591,0.09083762,0.105477,0.1348121,0.1879754,0.2821217,0.4472764


